"","Date","Time","Origin","Temperature","Date_Time","X","Treatment"
"163",2021-01-09,"03:00:00","Flat",26.292,2021-01-09 03:00:00,NA,NA
"164",2021-01-09,"03:30:00","Slope",25.028,2021-01-09 03:30:00,NA,NA
"165",2021-01-09,"03:30:00","Flat",25.902,2021-01-09 03:30:00,NA,NA
"166",2021-01-09,"03:30:00","Flat",26.292,2021-01-09 03:30:00,NA,NA
"167",2021-01-09,"04:00:00","Slope",25.028,2021-01-09 04:00:00,NA,NA
"168",2021-01-09,"04:00:00","Flat",26,2021-01-09 04:00:00,NA,NA
"169",2021-01-09,"04:00:00","Flat",26.292,2021-01-09 04:00:00,NA,NA
"170",2021-01-09,"04:30:00","Slope",25.61,2021-01-09 04:30:00,NA,NA
"171",2021-01-09,"04:30:00","Flat",26,2021-01-09 04:30:00,NA,NA
"172",2021-01-09,"04:30:00","Flat",26.292,2021-01-09 04:30:00,NA,NA
"173",2021-01-09,"05:00:00","Slope",25.902,2021-01-09 05:00:00,NA,NA
"174",2021-01-09,"05:00:00","Flat",26,2021-01-09 05:00:00,NA,NA
"175",2021-01-09,"05:00:00","Flat",26.39,2021-01-09 05:00:00,NA,NA
"176",2021-01-09,"05:30:00","Slope",26,2021-01-09 05:30:00,NA,NA
"177",2021-01-09,"05:30:00","Flat",26,2021-01-09 05:30:00,NA,NA
"178",2021-01-09,"05:30:00","Flat",26.39,2021-01-09 05:30:00,NA,NA
"179",2021-01-09,"06:00:00","Slope",26,2021-01-09 06:00:00,NA,NA
"180",2021-01-09,"06:00:00","Slope",26.097,2021-01-09 06:00:00,NA,NA
"181",2021-01-09,"06:00:00","Flat",26,2021-01-09 06:00:00,NA,NA
"182",2021-01-09,"06:00:00","Flat",26.39,2021-01-09 06:00:00,NA,NA
"183",2021-01-09,"06:30:00","Slope",26.097,2021-01-09 06:30:00,NA,NA
"184",2021-01-09,"06:30:00","Flat",26,2021-01-09 06:30:00,NA,NA
"185",2021-01-09,"06:30:00","Flat",26.39,2021-01-09 06:30:00,NA,NA
"186",2021-01-09,"07:00:00","Slope",26.097,2021-01-09 07:00:00,NA,NA
"187",2021-01-09,"07:00:00","Flat",26,2021-01-09 07:00:00,NA,NA
"188",2021-01-09,"07:00:00","Flat",26.39,2021-01-09 07:00:00,NA,NA
