"","flag","S","T","Patm","P","pH","CO2","fCO2","pCO2","fCO2pot","pCO2pot","fCO2insitu","pCO2insitu","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite"
"72",8,35,27.80614286,1,0,8.039,1.0297738304559e-05,388.606764996596,389.809134350172,388.606764996596,389.809134350172,388.606764996596,389.809136033862,0.00168877640099774,0.000221343948002893,0.00192041808730519,0.002235196,3.56173657012009,5.35631122397004
"73",8,35,26.60628571,1,0,8.208,6.62193113184337e-06,242.73776541835,243.499657859593,242.73776541835,243.499657859593,242.73776541835,243.499658533073,0.00156727154862606,0.000290203623712853,0.00186409710347076,0.002282906,4.64132155021983,7.00669998780635
"74",8,35,26.60628571,1,0,8.197,6.84086459215286e-06,250.763131111943,251.550220474554,250.763131111943,251.550220474554,250.763131111943,251.550221193305,0.0015785944953127,0.000284989700812558,0.00187042506071741,0.002281329,4.55793357453324,6.88081460755323
"75",8,35,26.60628571,1,0,8.206,6.6594821573524e-06,244.114259954422,244.88047408747,244.114259954422,244.88047408747,244.114259954422,244.880474768611,0.00156891729183217,0.000289173592871633,0.00186475036686115,0.00228204,4.62484792980262,6.98183083906768
"76",8,35,27.026,1,0,8.17,7.3075403985529e-06,270.626281161133,271.471428439319,270.626281161133,271.471428439319,270.626281161133,271.47142926918,0.00159712913671034,0.00027512767280262,0.00187956434991151,0.002275516,4.40947515412197,6.64784709361711
"77",8,35,27.026,1,0,8.171,7.29125569955734e-06,270.02319622576,270.86645952028,270.02319622576,270.86645952028,270.02319622576,270.866460346447,0.00159724352642894,0.000275781658233003,0.0018803164403615,0.002277157,4.41995658798522,6.66364919414139
"78",8,35,27.026,1,0,8.202,6.64539110972412e-06,246.104350410712,246.872895487455,246.104350410712,246.872895487455,246.104350410712,246.872896173736,0.00156346928519887,0.000289923618104094,0.00186003829441269,0.002278568,4.64660998146957,7.00535813919006
"79",8,35,27.00966667,1,0,7.908,1.54158976405077e-05,570.68335906061,572.466537629334,570.68335906061,572.466537629334,570.68335906061,572.466541321018,0.0018424914749487,0.000173516880415847,0.00203142425300506,0.002269017,2.78072789172009,4.19252067124399
"80",8,35,27.00966667,1,0,7.913,1.51794597665218e-05,561.930630981975,563.686442606374,561.930630981975,563.686442606374,561.930630981975,563.686446185681,0.00183524049929526,0.000174835342431947,0.00202525530149373,0.002265171,2.80185715645534,4.2243773945985
"81",8,35,27.00966667,1,0,7.893,1.60447564629258e-05,593.96317535943,595.819145074201,593.96317535943,595.819145074201,593.96317535943,595.819149073232,0.00185254940385964,0.000168541184803908,0.00203713534512647,0.002266855,2.70098893182369,4.07229774735971
"82",8,35,26.5658,1,0,8.04,1.07601745740599e-05,394.040855967075,395.278474925225,394.040855967075,395.278474925225,394.040855967075,395.278476701495,0.00172841706549228,0.000217053301362867,0.00195623054142921,0.002263188,3.47070684074522,5.2401678885694
